食材,カテゴリー,価格（円/1食分）,カロリー（kcal/1食分）
モモ,鶏肉,200,180
ムネ,鶏肉,250,150
ささみ,鶏肉,300,120
手羽先,鶏肉,150,250
手羽元,鶏肉,220,220
レバー,鶏肉,100,150
セセリ,鶏肉,250,250
ロース,豚肉,300,250
バラ,豚肉,350,300
豚トロ,豚肉,200,300
ソーセージ,豚肉,350,350
豚モモ肉,豚肉,250,200
サーロイン,牛肉,800,350
フィレ,牛肉,1000,300
リブロース,牛肉,900,400
カルビ,牛肉,350,350
バラ,牛肉,300,250
タン,牛肉,600,200
鮭,魚,300,250
マグロ,魚,500,200
さば,魚,250,180
白身魚（タイ）,魚,400,150
えび,甲殻類,600,150
いか,甲殻類,400,100
ほたて,貝類,800,200
あわび,貝類,1500,300
たこ,甲殻類,300,100
うに,貝類,1000,250
ほしくらげ,海藻類,100,5
わかめ,海藻類,80,10
めかぶ,海藻類,50,5
昆布,海藻類,30,10
かに,甲殻類,800,150
こはだ,魚,200,100
いわし,魚,150,120
しじみ,貝類,300,50
かつお,魚,400,200
生しらす,魚,350,150
ふぐ,魚,1000,300
鰻,魚,800,400
ブロッコリー,野菜,100,30
キャベツ,野菜,50,25
人参,野菜,80,35
ほうれん草,野菜,120,20
トマト,野菜,60,18
ピーマン,野菜,70,25
キュウリ,野菜,40,10
レタス,野菜,60,10
ジャガイモ,野菜,50,80
ナス,野菜,80,25
ニンジン,野菜,80,30
サツマイモ,野菜,100,90
ホウレンソウ,野菜,80,23
トウモロコシ,野菜,150,86
アスパラガス,野菜,200,20
ズッキーニ,野菜,70,17
パプリカ,野菜,100,30
オクラ,野菜,80,30
エンドウ豆,野菜,120,81
カボチャ,野菜,50,26
ニンニク,野菜,60,4
大根,野菜,60,5
しいたけ,野菜,100,30
春菊,野菜,120,10
ねぎ,野菜,30,15
レンコン,野菜,60,30
小松菜,野菜,80,15
りんご,果物,100,52
バナナ,果物,50,96
オレンジ,果物,80,62
いちご,果物,150,29
ぶどう,果物,120,69
メロン,果物,300,64
キウイフルーツ,果物,70,41
パイナップル,果物,100,50
桃,果物,150,39
スイカ,果物,80,30
ごはん,穀物・麺類,50,200
パスタ（スパゲッティ）,穀物・麺類,100,200
うどん,穀物・麺類,80,250
そば,穀物・麺類,70,180
ラーメン,穀物・麺類,200,400
パン（食パン）,穀物・麺類,80,80
玄米,穀物・麺類,100,180
牛乳（低脂肪）,乳製品,50,90
ヨーグルト,乳製品,70,70
チーズ（チェダー）,乳製品,100,110
バター,乳製品,80,100
アイスクリーム,乳製品,150,250
ホイップクリーム,乳製品,60,50
カッテージチーズ,乳製品,120,110
チーズ（モッツァレラ）,乳製品,120,100
みりん,調味料,30,40
醤油,調味料,30,5
酢,調味料,20,3
ケチャップ,調味料,40,20
マヨネーズ,調味料,50,90
みそ,調味料,30,40
塩,調味料,10,0
砂糖,調味料,10,40
胡椒,調味料,10,0
カレー粉,調味料,30,10
唐辛子,調味料,20,5
ごま油,オイル,10,5
サラダ油,オイル,15,5
オリーブオイル,オイル,80,120